id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
GPR56,0.015591,0.10751,1,1205,-0.38964,3,HGLibA_20057;HGLibA_20056;HGLibA_20055;,-0.94954;-1.0393;-1.938;
SNUPN,0.0090642,0.074939,1,800,-0.38958,6,HGLibB_45960;HGLibA_46015;HGLibB_45958;HGLibA_46014;HGLibB_45959;HGLibA_46016;,-1.3113;-0.73793;-0.32732;-0.45184;-0.094125;-0.099326;
MAFA,0.01763,0.11177,1,1354,-0.38948,5,HGLibB_27830;HGLibA_27872;HGLibB_27832;HGLibA_27871;HGLibA_27873;,-0.78172;-0.41795;-0.26292;-0.36101;-0.53688;
F5,0.038693,0.18147,1,2465,-0.38919,4,HGLibA_15877;HGLibB_15856;HGLibA_15878;HGLibB_15855;,-1.5109;-0.70111;-0.55905;-0.21933;
TAF1L,0.057179,0.22729,1,3300,-0.38914,4,HGLibB_48166;HGLibB_48167;HGLibB_48165;HGLibA_48224;,-0.85424;-0.72997;-0.8282;-0.048311;
NEU1,0.063584,0.23656,1,3573,-0.38909,4,HGLibA_31710;HGLibB_31668;HGLibB_31667;HGLibA_31711;,-1.2125;-1.5636;-0.45895;-0.31923;
S100A2,0.25278,0.50545,1,8999,-0.3889,4,HGLibA_42552;HGLibB_42499;HGLibB_42497;HGLibA_42550;,-0.66448;-0.70204;-0.64449;-0.1333;
GNG4,0.047438,0.20117,1,2878,-0.38878,4,HGLibB_19499;HGLibA_19527;HGLibA_19525;HGLibB_19500;,-1.1401;-0.91291;-0.72854;-0.049017;
C2orf48,0.0042673,0.054831,1,421,-0.38865,3,HGLibA_06136;HGLibB_06133;HGLibB_06134;,-3.4625;-1.2195;-0.83807;
EXOC3L1,0.070098,0.24782,1,3856,-0.38862,5,HGLibA_15740;HGLibA_15741;HGLibB_15717;HGLibA_15739;HGLibB_15718;,-0.69612;-2.148;-0.41072;-0.36653;-0.021436;
hsa-mir-6801,0.17502,0.35598,1,7084,-0.38856,3,HGLibA_63383;HGLibA_63382;HGLibA_63380;,-0.87956;-0.61244;-0.16468;
SHISA2,0.14758,0.37425,1,6407,-0.38846,4,HGLibA_44033;HGLibB_43980;HGLibA_44034;HGLibA_44032;,-0.64217;-0.59928;-1.0083;-0.17765;
ESR2,0.0058893,0.061263,1,550,-0.38845,4,HGLibB_15561;HGLibA_15585;HGLibA_15584;HGLibB_15563;,-0.95257;-0.73333;-0.49844;-0.27846;
APCS,0.0027342,0.0297,1,284,-0.38836,5,HGLibA_02400;HGLibB_02398;HGLibB_02400;HGLibB_02399;HGLibA_02402;,-2.2941;-0.77802;-0.27807;-0.36757;-0.40915;
hsa-mir-6765,0.027038,0.12082,1,1872,-0.38832,3,HGLibA_63222;HGLibA_63220;HGLibA_63221;,-0.93021;-0.6118;-0.16485;
BOD1,0.071244,0.24929,1,3896,-0.38821,4,HGLibA_04669;HGLibB_04666;HGLibA_04668;HGLibB_04665;,-0.83831;-0.69926;-0.56959;-0.20684;
SESN2,0.027725,0.14721,1,1906,-0.38818,3,HGLibB_43568;HGLibB_43570;HGLibA_43621;,-0.9859;-3.4686;-1.1067;
USP27X,0.077967,0.26957,1,4166,-0.3881,5,HGLibA_53317;HGLibB_53251;HGLibA_53316;HGLibA_53318;HGLibB_53252;,-0.50874;-0.48883;-0.47392;-0.24464;-0.30227;
CYTL1,0.10337,0.31403,1,5165,-0.3881,4,HGLibB_12236;HGLibB_12237;HGLibA_12249;HGLibB_12238;,-0.7356;-0.78756;-0.69356;-0.082647;
DARS2,0.076678,0.26773,1,4120,-0.38807,4,HGLibB_12330;HGLibA_12342;HGLibA_12343;HGLibB_12329;,-0.52105;-1.2648;-0.44688;-0.32926;
TMEM165,0.064711,0.24069,1,3635,-0.38805,4,HGLibB_49976;HGLibB_49977;HGLibA_50037;HGLibB_49975;,-0.73149;-0.58115;-0.53836;-0.23773;
FLJ27352,0.0059798,0.034135,1,563,-0.38798,2,HGLibB_17605;HGLibA_17627;,-2.0634;-0.38798;
GSC2,0.0087857,0.07399,1,778,-0.3878,4,HGLibB_20374;HGLibA_20402;HGLibB_20372;HGLibA_20400;,-1.6192;-0.50746;-0.35858;-0.41703;
AFMID,0.061684,0.23406,1,3502,-0.38779,5,HGLibA_01123;HGLibB_01121;HGLibA_01124;HGLibA_01125;HGLibB_01122;,-2.7193;-0.47121;-0.75345;-0.30436;-0.095596;
SIGLEC9,0.031949,0.17374,1,2110,-0.38778,5,HGLibB_44100;HGLibB_44099;HGLibA_44153;HGLibB_44101;HGLibA_44152;,-0.47537;-3.2149;-1.271;-0.30019;-0.16037;
