id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
RNF141,0.16756,0.37416,1,7275,0.18759,2,HGLibB_41471;HGLibB_41470;,-1.2125;-0.536;
BZW2,0.16757,0.37416,1,7276,0.13174,3,HGLibA_05017;HGLibA_05016;HGLibB_05012;,-1.4295;-0.34496;-0.052484;
CD97,0.16767,0.37499,1,7277,-0.34717,4,HGLibA_08487;HGLibB_08480;HGLibB_08478;HGLibA_08485;,-1.3782;-0.3549;-0.34637;-0.34796;
RAB42,0.16774,0.37739,1,7278,0.15409,2,HGLibB_39894;HGLibB_39896;,-1.1332;-0.18158;
USP22,0.16775,0.37739,1,7279,0.31565,2,HGLibB_53239;HGLibA_53305;,-0.86055;-0.92446;
EPN2,0.16781,0.37739,1,7280,-0.21278,3,HGLibB_15321;HGLibA_15344;HGLibA_15345;,-0.51057;-0.90967;-0.49811;
S100A12,0.16784,0.37739,1,7281,0.28112,2,HGLibB_42487;HGLibB_42485;,-1.1586;-1.3768;
ST5,0.16791,0.37739,1,7282,-0.10353,5,HGLibA_47255;HGLibA_47254;HGLibB_47199;HGLibB_47198;HGLibB_47197;,-1.1591;-0.71236;-0.063464;-0.14359;-0.045882;
PRKCA,0.16795,0.37739,1,7283,-0.40021,4,HGLibA_38534;HGLibB_38483;HGLibA_38532;HGLibB_38484;,-1.0138;-0.71;-0.84084;-0.090417;
EEF1D,0.16803,0.37739,1,7284,0.080785,3,HGLibA_14498;HGLibB_14478;HGLibB_14476;,-1.001;-0.49399;-0.30164;
GPR56,0.16808,0.37739,1,7285,-0.18604,3,HGLibA_20057;HGLibB_20029;HGLibA_20055;,-1.4108;-0.44083;-0.47427;
MRPL21,0.16812,0.37739,1,7286,-0.19807,5,HGLibA_29926;HGLibB_29885;HGLibA_29927;HGLibB_29886;HGLibA_29928;,-1.8729;-0.7171;-0.31436;-0.081781;-0.003066;
SRSF6,0.16813,0.37739,1,7287,0.28029,2,HGLibA_47084;HGLibB_47028;,-2.9429;-0.33033;
RFTN2,0.16818,0.37739,1,7288,-0.19907,3,HGLibB_40903;HGLibA_40952;HGLibA_40953;,-0.49992;-0.71568;-0.53601;
hsa-mir-1285-2,0.16825,0.3204,1,7289,0.45783,1,HGLibA_57604;,-1.4471;
SYF2,0.1683,0.37739,1,7290,-0.22259,4,HGLibB_47888;HGLibA_47947;HGLibA_47945;HGLibB_47887;,-0.95379;-0.98687;-0.4048;-0.040383;
PTX3,0.1683,0.37739,1,7291,-0.16405,3,HGLibA_39570;HGLibB_39522;HGLibA_39571;,-1.5949;-0.39081;-0.92459;
hsa-mir-124-2,0.16833,0.3204,1,7292,-0.41068,2,HGLibA_57350;HGLibA_57351;,-0.93445;-1.6464;
CHRNB3,0.16834,0.37739,1,7293,-0.081147,3,HGLibA_09595;HGLibB_09585;HGLibB_09587;,-1.1095;-0.35306;-0.52057;
FAM110D,0.16834,0.37739,1,7294,0.026986,3,HGLibB_15998;HGLibA_16022;HGLibA_16021;,-1.3206;-0.52381;-0.088224;
NOS3,0.16843,0.37739,1,7295,0.25296,2,HGLibA_32331;HGLibB_32287;,-0.99762;-0.036855;
NUAK2,0.16852,0.37981,1,7296,-0.087445,3,HGLibB_32850;HGLibA_32894;HGLibA_32895;,-0.52051;-1.3586;-0.9624;
hsa-mir-6507,0.16858,0.32106,1,7297,0.11041,2,HGLibA_62878;HGLibA_62877;,-2.4917;-0.588;
ATP6V1B1,0.16862,0.37981,1,7298,0.11707,3,HGLibB_03731;HGLibA_03732;HGLibA_03733;,-0.63135;-0.7282;-0.017757;
SYNE4,0.16862,0.37981,1,7299,-0.21022,4,HGLibB_47926;HGLibB_47925;HGLibB_47927;HGLibA_47985;,-0.47289;-0.29509;-0.40442;-0.12536;
PRSS27,0.16864,0.37981,1,7300,0.39939,2,HGLibB_38870;HGLibB_38872;,-2.4264;-0.38115;
MRPS5,0.16865,0.37981,1,7301,-0.07912,3,HGLibA_30104;HGLibA_30103;HGLibB_30063;,-0.5352;-1.7508;-0.44704;
hsa-mir-1180,0.16872,0.32106,1,7302,-0.23476,3,HGLibA_57215;HGLibA_57213;HGLibA_57214;,-2.7513;-0.32408;-0.14544;
LEPROT,0.16877,0.37981,1,7303,-0.14394,4,HGLibA_26328;HGLibA_26326;HGLibB_26291;HGLibB_26289;,-0.7435;-0.78941;-0.2293;-0.058576;
hsa-mir-548ac,0.16881,0.32106,1,7304,-0.21914,2,HGLibA_61861;HGLibA_61859;,-4.8108;-0.59137;
TMEM62,0.16882,0.37981,1,7305,-0.17186,4,HGLibA_50470;HGLibB_50411;HGLibA_50472;HGLibA_50471;,-1.4171;-0.29887;-0.82792;-0.044842;
