gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
IQSEC1,0.0015192,0.0072591,0.879632,167,0.76421,5,HGLibA_23540;HGLibB_23509;HGLibB_23507;HGLibA_23541;HGLibA_23542;,3.1288;0.78813;1.2142;0.40113;0.7403;
SFXN3,0.0015381,0.0075954,0.879632,170,1.6036,5,HGLibB_43733;HGLibB_43734;HGLibA_43788;HGLibA_43787;HGLibB_43735;,1.4096;2.2696;2.4759;1.7976;0.034595;
LCE1D,0.0015748,0.0076209,0.879632,174,0.74964,4,HGLibB_26071;HGLibA_26110;HGLibA_26108;HGLibA_26109;,1.3948;2.8401;1.4473;0.1045;
ETV3L,0.0016176,0.0076214,0.879632,177,0.70567,4,HGLibA_15656;HGLibB_15633;HGLibB_15634;HGLibA_15657;,2.825;1.243;0.72976;0.68158;
CLTA,0.0016423,0.0076456,0.879632,180,0.98465,6,HGLibB_10134;HGLibA_10142;HGLibB_10133;HGLibB_10132;HGLibA_10143;HGLibA_10144;,1.4802;1.2036;1.1567;0.71659;0.81264;0.14527;
PWP2,0.0016692,0.0077455,0.879632,183,1.0214,6,HGLibA_39638;HGLibB_39588;HGLibB_39586;HGLibB_39587;HGLibA_39637;HGLibA_39636;,1.4422;0.93687;1.9036;0.53898;1.0262;1.0167;
HMMR,0.0016972,0.0078646,0.879632,189,0.91987,4,HGLibA_21743;HGLibB_21715;HGLibA_21745;HGLibB_21714;,1.4552;2.0326;3.2673;0.38453;
OTUD7B,0.0017584,0.0082146,0.90067,195,1.0563,5,HGLibA_34779;HGLibB_34733;HGLibB_34735;HGLibA_34780;HGLibB_34734;,3.2888;1.1368;0.51002;0.97574;2.4245;
DHRS7,0.0017866,0.0083438,0.90067,198,0.7004,5,HGLibA_13146;HGLibA_13145;HGLibB_13127;HGLibA_13144;HGLibB_13128;,1.9838;2.0956;0.82963;0.57117;0.15236;
SH3GLB1,0.001788,0.0083438,0.90067,199,0.86918,4,HGLibA_43956;HGLibB_43901;HGLibA_43955;HGLibA_43954;,2.7512;1.2838;1.2808;0.45753;
