gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc,id
RDH11,0.013663,0.043568,0.810524,1109,1.0663,5,HGLibA_40735;HGLibA_40733;HGLibA_40734;HGLibB_40683;HGLibB_40684;,2.0289;1.3037;0.82887;2.8658;0.052799;,51109
WDR74,0.013798,0.043568,0.810524,1119,0.93253,5,HGLibA_54171;HGLibB_54106;HGLibA_54172;HGLibB_54105;HGLibA_54173;,1.8402;1.0104;0.88257;0.98248;0.57231;,54663
DBNDD1,0.013821,0.043568,0.810524,1121,0.90119,4,HGLibB_12377;HGLibA_12392;HGLibA_12391;HGLibA_12390;,1.0274;0.91326;0.88913;2.1498;,79007
EIF6,0.013916,0.043906,0.810524,1131,1.0397,6,HGLibA_14866;HGLibA_14867;HGLibB_14844;HGLibA_14868;HGLibB_14846;HGLibB_14845;,3.845;1.3456;0.87877;1.2006;0.76749;0.11935;,3692
NDUFA4L2,0.014096,0.044044,0.810524,1140,0.77194,5,HGLibB_31419;HGLibB_31418;HGLibA_31460;HGLibB_31420;HGLibA_31462;,0.49681;1.0471;1.1922;0.26113;1.4988;,56901
hsa-mir-329-2,0.055642,0.044146,0.810524,3376,1.2837,1,HGLibA_58982;,1.2837;,
PWP2,0.014259,0.044197,0.810524,1154,1.2336,5,HGLibB_39588;HGLibB_39586;HGLibA_39638;HGLibA_39637;HGLibB_39587;,1.9002;1.5782;0.88905;2.1174;0.384;,5822
ZNF267,0.014289,0.044197,0.810524,1158,0.83323,5,HGLibB_55634;HGLibB_55635;HGLibA_55702;HGLibA_55703;HGLibA_55701;,0.82522;0.84124;1.3247;2.1861;0.39935;,10308
TMEM108,0.014312,0.044197,0.810524,1159,0.70522,4,HGLibA_49866;HGLibB_49806;HGLibA_49865;HGLibB_49805;,0.93052;1.4419;0.47992;1.2986;,66000
C11orf57,0.014704,0.045072,0.812239,1185,0.81687,5,HGLibB_05155;HGLibB_05156;HGLibA_05160;HGLibA_05159;HGLibA_05161;,1.5482;0.49826;1.7173;0.52508;1.1087;,55216
hsa-mir-3180-1,0.014906,0.045834,0.824594,1195,0.78924,3,HGLibA_58801;HGLibA_58803;HGLibA_58800;,1.225;2.3642;0.35345;,
hsa-mir-1279,0.028014,0.04634,0.832318,2017,1.4118,2,HGLibA_57569;HGLibA_57570;,1.2938;1.5298;,100302182
CTAGE6,0.015045,0.046406,0.832817,1206,1.0069,3,HGLibB_11567;HGLibA_11577;HGLibA_11578;,0.85061;1.1633;1.3489;,340307
hsa-mir-23c,0.015316,0.047142,0.845328,1219,0.70753,4,HGLibA_58338;HGLibA_58337;HGLibA_58336;HGLibA_58335;,1.0987;0.74239;0.67268;0.19787;,100500809
hsa-mir-1184-1,0.015561,0.047598,0.852797,1241,0.77206,4,HGLibA_57230;HGLibA_57229;HGLibA_57231;HGLibA_57228;,1.1743;0.90273;0.6414;0.46913;,100302111
hsa-mir-3167,0.015842,0.048195,0.861366,1263,1.2864,3,HGLibA_58749;HGLibA_58746;HGLibA_58747;,1.7771;0.79578;2.2107;,
hsa-mir-345,0.015917,0.048196,0.861366,1267,0.81277,3,HGLibA_59026;HGLibA_59029;HGLibA_59027;,0.91337;1.0909;0.71217;,442910
CXorf40B,0.014248,0.048671,0.867728,1152,0.76464,4,HGLibA_11926;HGLibA_11925;HGLibB_11915;HGLibA_11927;,1.1429;0.76464;1.0523;0.045466;,541578
OSBPL9,0.016501,0.049302,0.875367,1313,0.74842,4,HGLibB_34624;HGLibB_34625;HGLibA_34670;HGLibA_34669;,2.0766;0.57796;0.91888;0.27374;,114883
hsa-mir-1538,0.016749,0.049466,0.877565,1331,0.95339,3,HGLibA_57920;HGLibA_57917;HGLibA_57918;,1.4105;1.6664;0.49629;,100302119
